time,ambient_temperature,relative_humidity,node_id,it_load_kw,pue,wue,water_consumption_liters,grid_carbon_intensity,energy_spot_price_eur,d_async_kw,d_sync_kw,hora_sin,hora_cos,dsync_lag_1h,dsync_rolling_4h_pasado,delta_dsync_pasado,inercia_termica_ext_3h,delta_temp_1h
2024-10-19 15:00:00,24.4,52,VALENCIA,611.22,1.2267908506184055,0.726,443.75,136.43,84.22,132.87,478.35,-0.7071067811865471,-0.7071067811865479,488.16,529.0975000000001,-8.519999999999982,24.966666666666683,-1.1000000000000014
2024-10-19 16:00:00,22.4,67,VALENCIA,690.27,1.179949073837425,0.646,445.91,135.4,97.58,144.81,545.46,-0.8660254037844385,-0.5000000000000004,478.35,502.605,-9.810000000000002,24.10000000000002,-2.0
2024-10-19 17:00:00,21.2,65,VALENCIA,772.3,1.1715609630936352,0.598,461.84,172.48,93.22,168.08,604.22,-0.9659258262890684,-0.2588190451025206,545.46,502.1625,67.11000000000001,22.66666666666669,-1.1999999999999993
2024-10-19 18:00:00,21.3,66,VALENCIA,823.19,1.1960438870479126,0.602,495.56,172.36,100.13,224.91,598.28,-1.0,-1.8369701987210292e-16,604.22,529.0475,58.75999999999999,21.633333333333358,0.1000000000000014
2024-10-19 19:00:00,19.6,77,VALENCIA,864.65,1.1700438078806337,0.534,461.72,188.4,102.82,232.23,632.42,-0.9659258262890684,0.2588190451025203,598.28,556.5775,-5.940000000000055,20.700000000000017,-1.6999999999999993
2024-10-19 20:00:00,19.6,83,VALENCIA,808.1,1.1541647818110892,0.534,431.53,194.18,104.81,222.56,585.54,-0.8660254037844386,0.5000000000000001,632.42,595.095,34.139999999999986,20.16666666666669,0.0
2024-10-19 21:00:00,18.6,87,VALENCIA,753.42,1.1594267898547184,0.494,372.19,187.35,111.86,226.03,527.39,-0.7071067811865477,0.7071067811865474,585.54,605.115,-46.88,19.26666666666669,-1.0
2024-10-19 22:00:00,17.2,88,VALENCIA,672.07,1.1782758669448163,0.438,294.37,189.02,107.28,201.62,470.45,-0.5000000000000004,0.8660254037844384,527.39,585.9074999999999,-58.14999999999998,18.466666666666686,-1.400000000000002
2024-10-19 23:00:00,15.9,85,VALENCIA,598.13,1.1848126545522557,0.386,230.88,186.26,98.02,172.61,425.52,-0.2588190451025215,0.965925826289068,470.45,553.95,-56.94,17.233333333333352,-1.299999999999999
2024-10-20 00:00:00,15.4,80,VALENCIA,404.09,1.1847227281988235,0.366,147.9,164.96,101.95,121.23,282.86,0.0,1.0,425.52,502.225,-44.93000000000001,16.166666666666686,-0.5
2024-10-20 01:00:00,15.3,79,VALENCIA,409.42,1.1712235418692163,0.362,148.21,170.96,88.66,122.83,286.59,0.2588190451025207,0.9659258262890684,282.86,426.555,-142.65999999999997,15.533333333333353,-0.0999999999999996
2024-10-20 02:00:00,15.1,76,VALENCIA,392.26,1.16514732066885,0.354,138.86,166.46,93.32,113.87,278.39,0.4999999999999999,0.8660254037844387,286.59,366.355,3.729999999999961,15.266666666666689,-0.200000000000001
2024-10-20 03:00:00,15.0,76,VALENCIA,421.95,1.1764872321239437,0.35,147.68,158.92,73.98,117.45,304.5,0.7071067811865476,0.7071067811865476,278.39,318.34000000000003,-8.199999999999989,15.133333333333352,-0.0999999999999996
2024-10-20 04:00:00,15.4,75,VALENCIA,425.13,1.1926632122266083,0.366,155.6,137.23,70.12,113.3,311.83,0.8660254037844386,0.5000000000000001,304.5,288.08500000000004,26.110000000000014,15.166666666666686,0.4000000000000003
2024-10-20 05:00:00,16.0,72,VALENCIA,441.01,1.1872953210129404,0.39,171.99,127.41,75.13,112.75,328.26,0.9659258262890684,0.2588190451025207,311.83,295.3275,7.329999999999984,15.466666666666685,0.5999999999999996
2024-10-20 06:00:00,17.0,68,VALENCIA,492.83,1.2083680999613653,0.43,211.92,149.35,67.54,127.89,364.94,1.0,6.123233995736766e-17,328.26,305.745,16.430000000000007,16.13333333333335,1.0
2024-10-20 07:00:00,17.4,68,VALENCIA,569.69,1.204280924994563,0.446,254.08,132.35,66.92,130.49,439.2,0.9659258262890684,-0.2588190451025206,364.94,327.3825,36.68000000000001,16.80000000000002,0.3999999999999986
2024-10-20 08:00:00,19.0,65,VALENCIA,659.32,1.1930342091124777,0.51,336.25,106.2,62.57,144.63,514.69,0.8660254037844387,-0.4999999999999998,439.2,361.0575,74.25999999999999,17.80000000000002,1.6000000000000014
